2D reactive Euler 
Nx, Ny      = 3500, 400
domain x    = [-50, 300]
domain y    = [0, 40]
final_time  = 30
OpenMP      = enabled, threads=32
scheme      = HLLC + MUSCL/MC + SSP-RK3 + Strang reaction
step=   5620 t=  7.391156 dt=1.379039e-03 pmax=43.2973 shock_x=47.6135
step=   5640 t=  7.418718 dt=1.377468e-03 pmax=43.1115 shock_x=47.7870
step=   5660 t=  7.446241 dt=1.375733e-03 pmax=43.1579 shock_x=47.9603
step=   5680 t=  7.473732 dt=1.374450e-03 pmax=43.4333 shock_x=48.1340
step=   5700 t=  7.500000 dt=1.668398e-04 pmax=43.4678 shock_x=48.2957
step=   5720 t=  7.527469 dt=1.372651e-03 pmax=43.2292 shock_x=48.4740
step=   5740 t=  7.554912 dt=1.371707e-03 pmax=43.2983 shock_x=48.6458
step=   5760 t=  7.582343 dt=1.371518e-03 pmax=43.4031 shock_x=48.8118
step=   5780 t=  7.609782 dt=1.372447e-03 pmax=43.0276 shock_x=48.9883
step=   5800 t=  7.637223 dt=1.371609e-03 pmax=42.7731 shock_x=49.1610
step=   5820 t=  7.664657 dt=1.371689e-03 pmax=42.6893 shock_x=49.3293
step=   5840 t=  7.692105 dt=1.373019e-03 pmax=42.3059 shock_x=49.5060
step=   5860 t=  7.719577 dt=1.373428e-03 pmax=41.8014 shock_x=49.6802
step=   5880 t=  7.747048 dt=1.373800e-03 pmax=41.5671 shock_x=49.8495
step=   5900 t=  7.773365 dt=1.375168e-03 pmax=41.2254 shock_x=50.0127
step=   5920 t=  7.800888 dt=1.376654e-03 pmax=40.6461 shock_x=50.1925
step=   5940 t=  7.828418 dt=1.376794e-03 pmax=40.2759 shock_x=50.3625
step=   5960 t=  7.855963 dt=1.378071e-03 pmax=39.9972 shock_x=50.5325
step=   5980 t=  7.883551 dt=1.380154e-03 pmax=39.4152 shock_x=50.7085
step=   6000 t=  7.911154 dt=1.380337e-03 pmax=39.0722 shock_x=50.8815
step=   6020 t=  7.938774 dt=1.381787e-03 pmax=38.7996 shock_x=51.0545
step=   6040 t=  7.966443 dt=1.384771e-03 pmax=38.3452 shock_x=51.2310
step=   6060 t=  7.994141 dt=1.385065e-03 pmax=38.2972 shock_x=51.4020
step=   6080 t=  8.020788 dt=1.386563e-03 pmax=38.2451 shock_x=51.5693
